success_rate,n_total_points,n_valid_points,n_satisfactory_points,iteration
0.005390835579514825,9645,1484,8,144
0.005390835579514825,9646,1484,8,145
0.0053872053872053875,9647,1485,8,146
0.0053872053872053875,9648,1485,8,147
0.0053872053872053875,9649,1485,8,148
0.0053872053872053875,9650,1485,8,149
0.0053872053872053875,9651,1485,8,150
0.0053872053872053875,9652,1485,8,151
0.005383580080753701,9653,1486,8,152
0.005383580080753701,9654,1486,8,153
0.005383580080753701,9655,1486,8,154
0.005379959650302623,9656,1487,8,155
0.005376344086021506,9657,1488,8,156
0.005376344086021506,9658,1488,8,157
0.005376344086021506,9659,1488,8,158
0.005376344086021506,9660,1488,8,159
0.005376344086021506,9661,1488,8,160
0.005372733378106112,9662,1489,8,161
0.005369127516778523,9663,1490,8,162
0.005369127516778523,9664,1490,8,163
